"","Flag","FlagCountry","Beam","Draft","Length","Type","Name"
"348","LR","Libèria",20.4,7.75,127,"Càrrega (Lo-Lo)","MAX"
"349","LR","Libèria",20.4,8.71,129,"Tancs","DESNA STAR"
"350","PT","Portugal",15.2,7.05,118.55,"Càrrega (Lo-Lo)","JULIE"
"351","TN","Tunísia",26,7.4,193,"Ro-Ro","ELYSSA"
"352","TN","Tunísia",19.2,6.98,132.6,"Portacontenidors","CONMAR FJORD"
"353","TN","Tunísia",26,7.4,193,"Ro-Ro","AMILCAR"
"354","TR","Turquia",18.4,7.47,116.7,"Portacontenidors","AKHISAR"
"355","TR","Turquia",16.2,7.01,113.8,"Portacontenidors","BMI EXPRESS"
"356","CY","Xipre",27.34,11.22,183,"Tancs","BALTIC ADVANCE"
"357","CY","Xipre",16.8,6.65,109,"Tancs","GUNGA"
"358","DK","Dinamarca",17.3,7.41,115,"Tancs","PACIFIC"
"359","DK","Dinamarca",19.6,8.35,129.91,"Tancs","NORDIC"
"360","DK","Dinamarca",19.6,8.35,130.12,"Tancs","SCANDIC"
"361","DK","Dinamarca",19.8,8.15,129.5,"Tancs","KATTEGAT"
"362","DK","Dinamarca",19.8,8.15,130,"Tancs","KATTEGAT"
"363","FR","França",18,7,116,"Tancs","SEDNA"
"364","GB","Regne Unit",15.6,6,91,"Tancs","STOLT GREENSHANK"
"365","HK","Hong Kong",32.2,13.24,183.06,"Tancs","SILVER MANOORA"
"366","IT","Itàlia",32.2,11,180,"Tancs","ICHESIA M"
"367","IT","Itàlia",15.4,6.45,100,"Tancs","LUCA IEVOLI"
"368","IT","Itàlia",31,11.1,176,"Tancs","DOMINIA"
"369","IT","Itàlia",19.8,8.15,130,"Tancs","MELIGUNIS M"
"370","IT","Itàlia",27.4,9.8,183,"Tancs","LADY RINA"
"371","IT","Itàlia",19,8.22,118.37,"Tancs","DOMENICO IEVOLI"
"372","LR","Libèria",42,15.16,244,"Petroliers","ZALIV AMURSKIY"
"373","LR","Libèria",31,10.52,176,"Tancs","DIDIMON"
"374","LR","Libèria",27.4,11.52,184,"Tancs","LEON POSEIDON"
"375","LR","Libèria",32.26,14.5,228.6,"Tancs","MAISTROS"
"376","LR","Libèria",27.4,11.32,184.32,"Tancs","CONTI BENGUELA"
"377","LR","Libèria",27.4,11.6,182.9,"Tancs","VOGE DIGNITY"
"378","LR","Libèria",32.2,13.52,189,"Tancs","ETC NEFERTARI"
"379","LR","Libèria",27.4,11.62,182.86,"Tancs","NORDIC TATIANA"
"380","MH","Illes Marshall",20.4,8.71,129,"Tancs","WINTER"
"381","MH","Illes Marshall",20.4,8.71,129,"Tancs","SPRING"
"382","MH","Illes Marshall",22.6,9.21,144,"Tancs","SONGA DIAMOND"
"383","MH","Illes Marshall",23.2,9.86,150,"Tancs","QIKIQTAALUK W."
"384","MH","Illes Marshall",32.2,13.3,183,"Tancs","MUSCAT SILVER"
"385","MH","Illes Marshall",27.4,11.72,184,"Tancs","HAFNIA AZOTIC"
"386","MH","Illes Marshall",44,15.02,249.9,"Petroliers","CLEAR STARS"
"387","MH","Illes Marshall",27.4,11.52,184,"Tancs","TRF MOSS"
"388","MH","Illes Marshall",27.4,11.72,184,"Tancs","HAFNIA ARONALDO"
"389","MH","Illes Marshall",27.4,11.48,184.02,"Tancs","ARISTIDIS"
"390","MH","Illes Marshall",44,14.66,250,"Petroliers","ADVANTAGE LIFE"
"391","MH","Illes Marshall",32.2,13.3,183,"Tancs","HAFNIA VIOLETTE"
"392","MH","Illes Marshall",27.42,12,182,"Tancs","VELOS TOPAZ"
"393","MH","Illes Marshall",26.6,9.65,158.9,"Tancs","ARDMORE CHEROKEE"
"394","MH","Illes Marshall",43,14.77,256.39,"Petroliers","STI CONDOTTI"
"395","MH","Illes Marshall",43.8,15.02,248.97,"Tancs","ORANGE STARS"
"396","MT","Malta",27.4,11.32,184,"Tancs","VALTELLINA"
"397","MT","Malta",32.2,12.62,182,"Tancs","MINERVA OCEANIA"
"398","MT","Malta",18.7,7.61,115.5,"Tancs","ALICE N"
"399","MT","Malta",18.9,7.97,132,"Tancs","DUZGIT INTEGRITY"
"400","MT","Malta",27.34,11.72,183,"Tancs","SEAMERIT"
"401","MT","Malta",16.8,6.65,109,"Tancs","ATLANTIS ALMERIA"
"402","MT","Malta",17.2,7.24,124,"Tancs","MED ARCTIC"
"403","MT","Malta",31,11.1,176,"Tancs","MARVEA"
"404","MT","Malta",14.2,6.2,96.3,"Tancs","ADIYAMAN"
"405","MT","Malta",27.34,11.74,182.55,"Tancs","SEAMERCURY"
"406","MT","Malta",16.9,6.75,120,"Tancs","ATA OCEAN"
"407","MT","Malta",16,6.35,108,"Tancs","ATLANTIS ARACELI"
"408","MT","Malta",14.5,5.7,93.1,"Tancs","SUDE-S"
"409","MT","Malta",18.2,7.77,114.99,"Tancs","ANDREA D"
"410","MT","Malta",32.2,13.02,183,"Tancs","SEAPRIDE"
"411","MT","Malta",14.1,5.7,92.85,"Tancs","CANSU Y"
"412","MT","Malta",20.4,8.71,128.6,"Tancs","SHANNON STAR"
"413","MT","Malta",31,11.12,175.98,"Tancs","ASTREA"
"414","MT","Malta",16,6,107.6,"Tancs","ATLANTIS ARKI"
"415","MT","Malta",32.2,12.62,182.5,"Tancs","ZAPPHIRE"
"416","MT","Malta",27.34,11.22,182.55,"Tancs","BALTIC FREEDOM"
"417","MT","Malta",32.2,12.22,183.2,"Tancs","SEAVICTORY"
"418","MT","Malta",44,14.65,249.9,"Petroliers","ABLIANI"
"419","PA","Panamà",20.8,8.07,127,"Tancs","SWAN DIGNITY"
"420","PA","Panamà",20.8,8.07,126.76,"Tancs","SWAN DIGNITY"
"421","PA","Panamà",32.2,12.52,182.72,"Tancs","DVINA GULF"
"422","PT","Portugal",27,8.8,162,"Tancs","THEMSESTERN"
"423","PT","Portugal",23,9,144,"Tancs","HARBOUR FIRST"
"424","PT","Portugal",31.99,10.5,182.78,"Tancs","CB PACIFIC"
"425","PT","Portugal",14.8,6.5,88.4,"Petroliers","SCALI DEL PONTINO"
"426","TR","Turquia",18,6.51,100,"Tancs","ZUGA"
"427","TR","Turquia",16.9,6.77,119.1,"Tancs","KARIA"
"428","BS","Bahames",32.2,9.82,200,"Ro-Ro","SWIFT ACE"
"429","BS","Bahames",32.25,10,200,"Ro-Ro","TARIFA"
"430","BS","Bahames",28,8.7,168.06,"Car-carrier","RCC PASSION"
"431","BS","Bahames",25,7.9,147.95,"Ro-Ro","NORDIC ACE"
"432","BS","Bahames",31.1,8.77,176,"Car-carrier","ISTRA ACE"
"433","FR","França",25.6,6.51,186.45,"Transbordadors","PELAGOS"
"434","IT","Itàlia",21.6,5.77,120.78,"Transbordadors","SARDINIA VERA"
"435","LR","Libèria",31.5,9,182.8,"Car-carrier","LAKE TAUPO"
"436","LR","Libèria",32.26,10,200,"Ro-Ro","MORNING CORNET"
"437","LR","Libèria",31.5,10.33,200,"Car-carrier","CSAV RIO GRANDE"
"438","LR","Libèria",29.2,8.52,174.98,"Car-carrier","UNITED SPIRIT"
"439","MH","Illes Marshall",22.4,6.41,140,"Car-carrier","VIKING CONSTANZA"
"440","MH","Illes Marshall",31.5,9,182.8,"Car-carrier","MEDITERRANEAN SEA"
"441","MH","Illes Marshall",23.6,6.62,155,"Car-carrier","NEPTUNE AVRA"
"442","MH","Illes Marshall",35.4,10.52,200,"Car-carrier","MORNING POST"
"443","MH","Illes Marshall",32.2,9.82,199.95,"Car-carrier","SANDERLING ACE"
"444","MH","Illes Marshall",23.6,6.62,155.02,"Car-carrier","NEPTUNE AVRA"
"445","MT","Malta",28,8.7,168.06,"Car-carrier","NEPTUNE HELLAS"
"446","MT","Malta",28,8,169.59,"Car-carrier","NEPTUNE ODYSSEY"
"447","MT","Malta",28,8.72,169.59,"Car-carrier","NEPTUNE KEFALONIA"
"448","MT","Malta",28,8.7,169.55,"Car-carrier","NEPTUNE THALASSA"
"449","MT","Malta",26.2,6.65,164.4,"Car-carrier","NEPTUNE THELISIS"
"450","PA","Panamà",29.2,8.52,175,"Car-carrier","AQUARIUS ACE"
"451","PA","Panamà",38,9.73,200,"Car-carrier","AZUL ACE"
"452","PA","Panamà",32.2,9.82,199.95,"Car-carrier","SUNLIGHT ACE"
"453","SG","Singapur",32.26,10.02,199.9,"Car-carrier","KING QUEST"
"454","AG","Antigua i Barbuda",25,9.5,161,"Portacontenidors","CORONA J"
"455","AG","Antigua i Barbuda",22.2,7.33,139.6,"Portacontenidors","SPICA J"
"456","BS","Bahames",19,6.16,122,"Ro-Ro","AKNOUL"
"457","CY","Xipre",42.8,14.5,334,"Portacontenidors","EUROPE"
"458","CY","Xipre",22.5,8.71,134.44,"Portacontenidors","RUTH"
"459","CY","Xipre",21.3,7.47,137.5,"Portacontenidors","RS LISA"
"460","CY","Xipre",22.2,9.5,139.6,"Portacontenidors","ANDROMEDA J"
"461","CY","Xipre",30.2,11.01,197.2,"Portacontenidors","CMA CGM FORT ST LOUIS"
"462","CY","Xipre",23.25,8.51,147.87,"Càrrega (Lo-Lo)","CONTSHIP NEW"
"463","FR","França",51,16,366,"Portacontenidors","CMA CGM EVERGLADE"
"464","HK","Hong Kong",40,14,304,"Portacontenidors","SEALAND WASHINGTON"
"465","HK","Hong Kong",30.2,11.15,199,"Portacontenidors","NORA MAERSK"
"466","HK","Hong Kong",30.2,11.15,198.6,"Portacontenidors","NORA MAERSK"
"467","HK","Hong Kong",29.8,11.4,210.54,"Portacontenidors","SAFMARINE NAKURU"
"468","HK","Hong Kong",48.2,15.53,366.47,"Portacontenidors","OOCL MALAYSIA"
"469","HK","Hong Kong",25,9.52,155,"Portacontenidors","MAERSK ARUN"
"470","HK","Hong Kong",40,14.02,304.16,"Portacontenidors","MAERSK KINGSTON"
"471","HK","Hong Kong",48.2,15.5,366.45,"Portacontenidors","MSC MARGRIT"
"472","LR","Libèria",24.5,9.5,155,"Portacontenidors","AS FREYA"
"473","LR","Libèria",29.8,11.4,207,"Portacontenidors","MSC NAISHA III"
"474","LR","Libèria",30,11.5,188,"Portacontenidors","MSC SHIRLEY"
"475","LR","Libèria",38.8,14,237.8,"Portacontenidors","MAERSK PANGANI"
"476","LR","Libèria",42.8,14.52,270,"Portacontenidors","RHODOS"
"477","LR","Libèria",23.25,8.5,148,"Càrrega (Lo-Lo)","CONTSHIP RAY"
"478","LR","Libèria",48.2,14.52,299,"Portacontenidors","MSC ALBANY"
"479","LR","Libèria",32.26,12.6,260.71,"Portacontenidors","GENOVA"
"480","LR","Libèria",23.5,9.32,157.15,"Portacontenidors","MSC IZMIR F"
"481","LR","Libèria",23.25,8.51,147.81,"Portacontenidors","MSC AZURIT F"
"482","LR","Libèria",27.4,10.92,176,"Portacontenidors","EM HYDRA"
"483","LR","Libèria",22.6,8.8,139,"Portacontenidors","CONTSHIP FUN"
"484","LR","Libèria",32.2,13.02,294,"Portacontenidors","MSC ROCHELLE"
"485","LR","Libèria",48.2,48.2,314.94,"Portacontenidors","MSC RAYSHMI"
"486","LR","Libèria",32.2,12.52,235,"Portacontenidors","MSC MANYA"
"487","LR","Libèria",32.25,13.5,294,"Portacontenidors","MSC ROBERTA"
"488","LR","Libèria",54,16.02,399,"Portacontenidors","MSC ISTANBUL"
"489","LR","Libèria",23.25,8.51,148,"Portacontenidors","ATLANTIC MERCHANT"
"490","LR","Libèria",61,16.5,399.77,"Portacontenidors","MSC APOLLINE"
"491","LR","Libèria",32.2,12.54,269,"Portacontenidors","NEOKASTRO"
"492","LR","Libèria",27.6,9.52,172,"Portacontenidors","CALYPSO"
"493","LR","Libèria",45.6,14.5,340,"Portacontenidors","VARNA BAY"
"494","LR","Libèria",23.25,8.5,147.87,"Portacontenidors","OPS HAMBURG"
"495","LR","Libèria",32.2,13.02,294,"Portacontenidors","MSC SAO PAULO"
"496","LR","Libèria",23.25,8.51,148,"Càrrega (Lo-Lo)","CONTSHIP OAK"
"497","LR","Libèria",32.2,11.5,243.1,"Portacontenidors","MSC CAPUCINE R"
"498","LR","Libèria",32.24,12.15,207.3,"Portacontenidors","MSC ALDEBARAN III"
"499","LR","Libèria",32.2,12.54,268.8,"Portacontenidors","NEOKASTRO"
"500","LR","Libèria",43.2,14.5,317.8,"Portacontenidors","MSC ARCHIMIDIS"
"501","LR","Libèria",22.8,8.8,139.14,"Càrrega (Lo-Lo)","MSC MARITINA F"
"502","LR","Libèria",23.25,8.5,147.83,"Càrrega (Lo-Lo)","CONTSHIP RAY"
"503","LR","Libèria",32.2,12.5,210.4,"Portacontenidors","MAERSK PENANG"
"504","LR","Libèria",29.8,11.4,207.17,"Portacontenidors","MSC MALENA"
"505","LR","Libèria",23.25,8.51,147.84,"Portacontenidors","MSC CHARLOTTE"
"506","LR","Libèria",32.2,13.5,294.05,"Portacontenidors","MSC MARIA CLARA"
"507","LR","Libèria",22.7,7.7,133.7,"Portacontenidors","MSC LILO F"
"508","LR","Libèria",29.8,11.6,208.93,"Portacontenidors","POMERENIA SKY"
"509","LR","Libèria",30.2,11.5,210.05,"Portacontenidors","MSC JULIANA III"
"510","LR","Libèria",32.25,12.63,259.8,"Portacontenidors","MSC SINGAPORE"
"511","LR","Libèria",48.2,14,299.9,"Portacontenidors","CORCOVADO"
"512","LT","Lituània",23.25,8.51,148,"Portacontenidors","SONATA"
"513","LT","Lituània",23.25,8.5,148,"Portacontenidors","TOKATA"
"514","MH","Illes Marshall",42.8,14.55,271,"Portacontenidors","ALEXIS"
"515","MH","Illes Marshall",42.8,14.52,334,"Portacontenidors","SEAMAX NEW HAVEN"
"516","MH","Illes Marshall",25.3,9.89,184,"Portacontenidors","CARLA-LIV"
"517","MH","Illes Marshall",42.8,14.5,270,"Portacontenidors","KATHERINE"
"518","MH","Illes Marshall",42.8,14.5,270.06,"Portacontenidors","KATHERINE"
"519","MT","Malta",23.1,8.6,150,"Portacontenidors","MERITO"
"520","MT","Malta",48.2,14.5,299.95,"Portacontenidors","MSC ATHOS"
"521","MT","Malta",22.6,8.25,146,"Portacontenidors","VASSILIS A"
"522","MT","Malta",51,16,366,"Portacontenidors","CMA CGM DIGNITY"
"523","MT","Malta",26.5,10.5,189,"Portacontenidors","LION"
"524","MT","Malta",48.2,14.5,300,"Portacontenidors","MSC AJACCIO"
"525","MT","Malta",51,16,366,"Portacontenidors","CMA CGM BALI"
"526","MT","Malta",42.8,14.52,270.07,"Portacontenidors","CMA CGM VOLTAIRE"
"527","MT","Malta",51,16,366,"Portacontenidors","CMA CGM INTEGRITY"
"528","MT","Malta",51,16,366,"Portacontenidors","CMA CGM SCANDOLA"
"529","MT","Malta",51,16,366,"Portacontenidors","CMA CGM HOPE"
"530","MT","Malta",48.2,14.5,299.84,"Portacontenidors","MSC AJACCIO"
"531","MT","Malta",48.19,14.5,299.87,"Portacontenidors","MSC AZOV"
"532","PA","Panamà",32.2,13.02,260,"Portacontenidors","MSC DIEGO"
"533","PA","Panamà",32.2,13,274,"Portacontenidors","MSC ALYSSA"
"534","PA","Panamà",32.25,12.6,265.06,"Portacontenidors","MSC ANGELA"
"535","PA","Panamà",23.25,8.5,147.81,"Portacontenidors","MSC LEVANTE F"
"536","PA","Panamà",32.2,13.5,275,"Portacontenidors","MSC LEIGH"
"537","PA","Panamà",40,14,304,"Portacontenidors","MAERSK PUELO"
"538","PA","Panamà",45.6,15.5,336.64,"Portacontenidors","MSC PAMELA"
"539","PA","Panamà",48.2,14.5,300,"Portacontenidors","MSC ADELAIDE"
"540","PA","Panamà",32.2,12.1,243,"Portacontenidors","MSC ROSSELLA"
"541","PA","Panamà",45.6,15.5,337,"Portacontenidors","MSC CANDICE"
"542","PA","Panamà",32.25,12.6,265,"Portacontenidors","MSC KIM"
"543","PA","Panamà",32.22,13.52,294,"Portacontenidors","MSC PILAR"
"544","PA","Panamà",45.6,15.5,337,"Portacontenidors","MSC JOANNA"
"545","PA","Panamà",32.22,13.52,294,"Portacontenidors","MSC FEDERICA"
"546","PA","Panamà",42.8,14.5,325,"Portacontenidors","MSC LUCY"
"547","PA","Panamà",32.2,13,274,"Portacontenidors","MSC SANDRA"
"548","PA","Panamà",32.2,12.1,243,"Portacontenidors","MSC MARTINA"
"549","PA","Panamà",23.5,8.65,147,"Portacontenidors","MSC ESHA"
"550","PA","Panamà",32.25,12.6,265,"Portacontenidors","MSC TAMARA"
"551","PA","Panamà",29.8,11.4,207,"Càrrega (Lo-Lo)","MSC FLOSTA III"
"552","PA","Panamà",61,16.5,400,"Portacontenidors","MSC MINA"
"553","PA","Panamà",61,16.5,400,"Portacontenidors","MSC SIXIN"
"554","PA","Panamà",42.8,14.5,324.85,"Portacontenidors","MSC RITA"
"555","PA","Panamà",40,14,304.13,"Portacontenidors","MAERSK PUELO"
"556","PA","Panamà",28.4,11.06,189,"Portacontenidors","MSC GABRIELLA"
"557","PA","Panamà",32.25,13.5,294.07,"Portacontenidors","MSC MATILDE"
"558","PA","Panamà",32.22,13.5,294.11,"Portacontenidors","MSC VERONIQUE"
"559","PA","Panamà",29.8,11.55,201.05,"Portacontenidors","MSC SANDY III"
"560","PA","Panamà",32.25,12.5,195.72,"Portacontenidors","MSC MARIA PIA"
"561","PA","Panamà",48.4,16.5,365.75,"Portacontenidors","MSC FLAVIA"
"562","PA","Panamà",45.6,15.5,337,"Portacontenidors","MSC ESTHI"
"563","PA","Panamà",43.2,15,332,"Portacontenidors","MSC SILVANA"
"564","PA","Panamà",61.5,16,400,"Portacontenidors","MSC AMBRA"
"565","PA","Panamà",29.8,11.4,207.16,"Portacontenidors","NEWYORKER"
"566","PA","Panamà",61,16.5,399.77,"Portacontenidors","MSC ISABELLA"
"567","PA","Panamà",32.2,12.5,216.05,"Portacontenidors","MSC TASMANIA"
"568","PA","Panamà",28.41,11.1,187.26,"Portacontenidors","MSC FLORIANA"
"569","PA","Panamà",54,16.02,399,"Portacontenidors","MSC HAMBURG"
"570","PT","Portugal",22.5,8.71,134.4,"Portacontenidors","WEC MONDRIAAN"
"571","PT","Portugal",32.2,12,200.05,"Portacontenidors","MSC JENNY"
"572","PT","Portugal",22.5,8.71,134.44,"Portacontenidors","WEC CORNEILLE"
"573","PT","Portugal",23.25,8.51,148,"Portacontenidors","GEESKE"
"574","PT","Portugal",42.8,14.5,325,"Portacontenidors","MSC BUSAN"
"575","PT","Portugal",48.2,14.5,300,"Portacontenidors","MSC MELINE"
"576","PT","Portugal",22.5,8.71,134.44,"Portacontenidors","CONESTE"
"577","PT","Portugal",22.6,8.8,139.14,"Portacontenidors","MSC ANNE F"
"578","PT","Portugal",48.2,14.5,299.82,"Portacontenidors","MSC GISELLE"
"579","PT","Portugal",23.25,8.5,147.84,"Portacontenidors","WILHELMINE"
"580","PT","Portugal",48.2,14.5,300,"Portacontenidors","MSC SILVIA"
"581","PT","Portugal",48.2,14.5,299.84,"Portacontenidors","MSC MAXINE"
"582","PT","Portugal",23.25,8.51,147.8,"Portacontenidors","GEESKE"
"583","PT","Portugal",32.2,13.5,294.1,"Portacontenidors","MSC MANZANILLO"
"584","PT","Portugal",42.8,15.03,322.97,"Portacontenidors","MSC DARIEN"
"585","PT","Portugal",37.3,12.5,255.38,"Granelers","JADRANA"
"586","PT","Portugal",29.8,11.43,221.7,"Portacontenidors","NORTHERN VOLITION"
"587","PT","Portugal",23.9,9.19,138.97,"Portacontenidors","BARBARA P"
"588","PT","Portugal",48.2,14.5,299.96,"Portacontenidors","MSC JULIE"
"589","PT","Portugal",42.8,14.52,334,"Portacontenidors","MSC NEW HAVEN"
"590","PT","Portugal",32.18,13.45,293.83,"Portacontenidors","MSC BREMERHAVEN"
"591","PT","Portugal",23.9,9.19,138.78,"Portacontenidors","JONA SOPHIE"
"592","PT","Portugal",22.5,8.71,134.44,"Portacontenidors","ANDANTE"
"593","PT","Portugal",42.8,14.5,324.85,"Portacontenidors","MSC CHARLESTON"
"594","SG","Singapur",23.25,8.51,147.8,"Portacontenidors","ATLANTIC MERCHANT"
"595","SG","Singapur",27.4,10.9,177,"Portacontenidors","X-PRESS IRAZU"
"596","SG","Singapur",27.4,10.9,176.9,"Portacontenidors","X-PRESS IRAZU"
"597","SG","Singapur",27.4,9.77,172.07,"Portacontenidors","GREEN SEA"
"598","SG","Singapur",32.2,11.28,200,"Portacontenidors","X-PRESS MACHU PICCHU"
"599","MH","Illes Marshall",20.4,8.9,128.8,"Tancs","BOMAR JUPITER"
"600","MT","Malta",18.9,7.98,131.84,"Tancs","MANAS"
"601","NL","Països Baixos",19,7.85,126.73,"Tancs","NQ CALIPSO"
"602","CY","Xipre",17,7.6,104.95,"Tancs","OTELLO"
"603","DK","Dinamarca",24.19,9.67,144.09,"Tancs","NORDIC MAYA"
"604","IT","Itàlia",31,11.11,176,"Tancs","FENICUSA M"
"605","IT","Itàlia",15.4,6.45,99.9,"Tancs","IEVOLI SPRINT"
"606","IT","Itàlia",18,7.45,109.95,"Tancs","IEVOLI SPEED"
"607","LR","Libèria",23.72,10.12,163,"Tancs","STOLT SPAN"
"608","LR","Libèria",44,14.82,250,"Petroliers","GHIBLI"
"609","LR","Libèria",25.5,10.52,159,"Tancs","STOLT VANGUARD"
"610","LR","Libèria",32.2,13.3,183.15,"Tancs","SOLAR CHERYL"
"611","MH","Illes Marshall",24.19,9.62,144,"Tancs","CITY ISLAND"
"612","MH","Illes Marshall",27.4,11.52,184,"Tancs","TRF MOBILE"
"613","MH","Illes Marshall",23.7,9.95,145.53,"Tancs","CHEM TIGER"
"614","MH","Illes Marshall",44,14.65,249.93,"Petroliers","FRONT FAVOUR"
"615","MT","Malta",18.2,7.46,115,"Tancs","ALVISE DP"
"616","MT","Malta",19,7.56,112,"Tancs","VERONICA DP"
"617","MT","Malta",18.2,7.77,115.99,"Tancs","IRENE DP"
"618","MT","Malta",26.2,10.02,170.11,"Tancs","CHEM EAGLE"
"619","MT","Malta",27.4,11.92,184.26,"Tancs","CIELO DI ULSAN"
"620","MT","Malta",21.6,9.11,134.03,"Tancs","CHEMICAL CHALLENGER"
"621","NO","Noruega",32.2,12.07,182.88,"Tancs","BOW LIND"
"622","PA","Panamà",24.2,9.73,148,"Tancs","CYPRESS GALAXY"
"623","PA","Panamà",32.2,12.17,183,"Tancs","NCC DALIA"
"624","PA","Panamà",24.2,9.71,141,"Tancs","PVT SUNRISE"
"625","PT","Portugal",18.8,7.36,118,"Tancs","ELLEN ESSBERGER"
"626","PT","Portugal",18.59,7.8,119.62,"Tancs","CORAL ESSBERGER"
"627","PT","Portugal",18.6,7.8,119.64,"Tancs","ROLAND ESSBERGER"
"628","PT","Portugal",28,10.42,184.96,"Tancs","STOLT MAPLE"
"629","PT","Portugal",18.8,7.36,118.14,"Tancs","ELLEN ESSBERGER"
"630","SG","Singapur",26.6,11.52,170,"Tancs","GENUINE VENUS"
"631","SG","Singapur",32.24,14.02,228,"Tancs","TORM SARA"
"632","BS","Bahames",32.2,10.52,183,"Tancs","DIADEMA"
"633","BS","Bahames",32.2,13.02,186,"Tancs","ARTEMIS"
"634","BS","Bahames",42,12.2,228.6,"Petroliers","ALBERTA"
"635","DK","Dinamarca",32.2,12.6,183.2,"Tancs","TORM AMALIE"
"636","DK","Dinamarca",18.2,7.45,115,"Tancs","SIGRID THERESA"
"637","DK","Dinamarca",16.9,6.74,119.6,"Tancs","LESSOW SWAN"
"638","DK","Dinamarca",32,13.3,183.06,"Tancs","TORM SUCCESS"
"639","DK","Dinamarca",32.2,13.3,183,"Tancs","NORD SUPERIOR"
"640","HK","Hong Kong",32.2,13.27,183,"Tancs","SILVER MUNA"
"641","IT","Itàlia",32.2,11,180,"Tancs","RINELLA M"
"642","IT","Itàlia",15.4,6.11,99.71,"Tancs","FALESIA"
"643","IT","Itàlia",23,9.6,161.08,"Tancs","DATTILO M"
"644","IT","Itàlia",31,11.1,175.99,"Tancs","MAGNIFICA"
"645","LR","Libèria",32.2,11,180,"Tancs","NORIENT SOLAR"
"646","LR","Libèria",27.4,11.62,183,"Tancs","KRITI EPISKOPI"
"647","LR","Libèria",27.4,11.52,184,"Tancs","MOUNT EVEREST"
"648","LR","Libèria",27.4,11.32,184,"Tancs","CONTI BENGUELA"
"649","LR","Libèria",27.4,11.62,182.86,"Tancs","KRITI EPISKOPI"
"650","LR","Libèria",32.2,13.29,183,"Tancs","ATHLOS"
"651","LR","Libèria",32.2,12.43,183,"Tancs","ATOLL"
"652","LR","Libèria",43,15.24,244.16,"Petroliers","AURVIKEN"
"653","LR","Libèria",32.2,12.8,179.9,"Tancs","PRIORITY"
"654","LR","Libèria",43,15.22,244,"Petroliers","AQUASURAZO"
"655","MH","Illes Marshall",20.4,8.9,129,"Tancs","BOMAR JUPITER"
"656","MH","Illes Marshall",27.4,11.52,184,"Tancs","DINAH"
"657","MH","Illes Marshall",38,13.27,219,"Tancs","PACIFIC MARTINA"
"658","MH","Illes Marshall",27.38,11.59,182.86,"Tancs","SUNNY SKY"
"659","MH","Illes Marshall",32.2,13.32,183.06,"Tancs","OVERSEAS SUN COAST"
"660","MT","Malta",18.9,7.97,132,"Tancs","BASAT"
"661","MT","Malta",16,6.32,122,"Tancs","SEYMA"
"662","MT","Malta",31,11.12,176,"Tancs","RED OPAL"
"663","MT","Malta",26.2,10.02,170,"Tancs","CHEM EAGLE"
"664","MT","Malta",26,9.81,138.5,"Tancs","SPECTRUM"
"665","MT","Malta",19.05,7.61,101,"Tancs","BOMAR SEDNA"
"666","MT","Malta",32.2,12.22,183,"Tancs","SEABRIGHT"
"667","MT","Malta",25.3,12.15,182,"Tancs","CASTILLO DE TRUJILLO"
"668","MT","Malta",16,6.33,122,"Tancs","BOMAR HAUMEA"
"669","MT","Malta",27.34,11.22,182.55,"Tancs","GIANNUTRI"
"670","MT","Malta",27.34,11.22,182.55,"Tancs","BALTIC WAVE"
"671","MT","Malta",21.7,8.7,142.98,"Tancs","FMT URLA"
"672","MT","Malta",16.89,6.76,119.6,"Tancs","EMEK-S"
"673","MT","Malta",27.4,11.92,184.26,"Tancs","CIELO DI CAPRI"
"674","MT","Malta",16,6.34,107.6,"Tancs","HITRA"
"675","MT","Malta",21.6,8.6,148,"Tancs","YM JUPITER"
"676","MT","Malta",31,11.1,175.96,"Tancs","LIBERA"
"677","MT","Malta",16.6,6.7,99.99,"Tancs","SEDAT BASAK"
"678","MT","Malta",18.2,7.45,115.26,"Tancs","TOMMASO S"
"679","NO","Noruega",25.6,12.02,170,"Tancs","RUNDEMANEN"
"680","PT","Portugal",28,11,185,"Tancs","EBERHARDT ARCTIC"
"681","PT","Portugal",32,10.5,182.81,"Tancs","CB BALTIC"
"682","PT","Portugal",27.4,11.52,184,"Tancs","MOUNT EVEREST"
"683","SG","Singapur",27.4,11.8,183,"Tancs","MAERSK KATALIN"
"684","TR","Turquia",16.6,6.7,99.99,"Tancs","SELENA ATK"
"685","MT","Malta",15,6.5,88,"Petroliers","SCALI DEL TEATRO"
"686","AG","Antigua i Barbuda",22.6,8.8,139,"Portacontenidors","HELENE"
"687","CY","Xipre",23.4,7.42,151,"Portacontenidors","HERCULES J"
"688","DE","Alemanya",19.4,7.42,151,"Portacontenidors","SPICA"
"689","DE","Alemanya",42.8,14.5,321,"Portacontenidors","YANTIAN EXPRESS"
"690","DE","Alemanya",42.8,14.61,335,"Portacontenidors","BREMEN EXPRESS"
"691","DE","Alemanya",42.8,14.52,321,"Portacontenidors","DALIAN EXPRESS"
"692","DE","Alemanya",42.8,14.61,335,"Portacontenidors","VIENNA EXPRESS"
"693","DE","Alemanya",32.2,13.55,294.03,"Portacontenidors","ROTTERDAM EXPRESS"
"694","DE","Alemanya",32.2,13.55,294,"Portacontenidors","TOKYO EXPRESS"
"695","DE","Alemanya",42.8,14.52,321,"Portacontenidors","NINGBO EXPRESS"
